Operation,Run,Time (seconds)
Decode,700,3.75ms
Decode,701,3.25ms
Decode,702,3.41ms
Decode,703,3.55ms
Decode,704,3.21ms
Decode,705,3.77ms
Decode,706,3.29ms
Decode,707,3.58ms
Decode,708,3.39ms
Decode,709,3.23ms
Decode,710,3.57ms
Decode,711,3.23ms
Decode,712,3.47ms
Decode,713,3.48ms
Decode,714,3.38ms
Decode,715,3.36ms
Decode,716,3.41ms
Decode,717,3.28ms
Decode,718,3.46ms
Decode,719,3.17ms
Decode,720,3.51ms
Decode,721,3.90ms
Decode,722,3.61ms
Decode,723,3.72ms
Decode,724,3.37ms
Decode,725,3.49ms
Decode,726,3.44ms
Decode,727,3.26ms
Decode,728,3.42ms
Decode,729,3.57ms
Decode,730,3.17ms
Decode,731,3.57ms
Decode,732,3.30ms
Decode,733,3.44ms
Decode,734,3.63ms
Decode,735,3.39ms
Decode,736,3.58ms
Decode,737,3.24ms
Decode,738,3.67ms
Decode,739,3.34ms
Decode,740,3.12ms
Decode,741,3.59ms
Decode,742,3.32ms
Decode,743,3.86ms
Decode,744,3.91ms
Decode,745,3.59ms
Decode,746,3.44ms
Decode,747,3.72ms
Decode,748,3.53ms
Decode,749,3.58ms
Decode,750,3.74ms
Decode,751,3.40ms
Decode,752,4.08ms
Decode,753,3.45ms
Decode,754,3.46ms
Decode,755,3.71ms
Decode,756,3.71ms
Decode,757,3.59ms
Decode,758,3.45ms
Decode,759,3.25ms
Decode,760,3.72ms
Decode,761,3.38ms
Decode,762,3.35ms
Decode,763,3.39ms
Decode,764,3.17ms
Decode,765,3.47ms
Decode,766,3.64ms
Decode,767,3.46ms
Decode,768,3.51ms
Decode,769,3.48ms
Decode,770,3.19ms
Decode,771,3.46ms
Decode,772,3.38ms
Decode,773,3.22ms
Decode,774,3.45ms
Decode,775,3.76ms
Decode,776,3.45ms
Decode,777,3.70ms
Decode,778,3.67ms
Decode,779,3.51ms
Decode,780,3.31ms
Decode,781,3.30ms
Decode,782,3.44ms
Decode,783,3.25ms
Decode,784,3.53ms
Decode,785,3.73ms
Decode,786,3.39ms
Decode,787,3.75ms
Decode,788,3.40ms
Decode,789,3.29ms
Decode,790,3.34ms
Decode,791,3.12ms
Decode,792,3.64ms
Decode,793,3.19ms
Decode,794,3.19ms
Decode,795,3.35ms
Decode,796,3.40ms
Decode,797,3.53ms
Decode,798,3.62ms
Decode,799,3.42ms
Decode,800,3.82ms
Decode,801,3.35ms
Decode,802,3.65ms
Decode,803,3.64ms
Decode,804,3.77ms
Decode,805,3.65ms
Decode,806,3.45ms
Decode,807,3.97ms
Decode,808,3.29ms
Decode,809,3.42ms
Decode,810,3.55ms
Decode,811,3.30ms
Decode,812,3.61ms
Decode,813,3.17ms
Decode,814,3.50ms
Decode,815,3.34ms
Decode,816,3.47ms
Decode,817,3.72ms
Decode,818,3.36ms
Decode,819,3.41ms
Decode,820,3.28ms
Decode,821,3.20ms
Decode,822,3.44ms
Decode,823,3.70ms
Decode,824,3.41ms
Decode,825,3.47ms
Decode,826,3.76ms
Decode,827,4.02ms
Decode,828,3.65ms
Decode,829,3.76ms
Decode,830,3.55ms
Decode,831,3.76ms
Decode,832,3.40ms
Decode,833,3.53ms
Decode,834,3.51ms
Decode,835,3.91ms
Decode,836,3.93ms
Decode,837,3.45ms
Decode,838,3.63ms
Decode,839,3.60ms
Decode,840,3.45ms
Decode,841,3.52ms
Decode,842,3.72ms
Decode,843,3.27ms
Decode,844,3.63ms
Decode,845,3.54ms
Decode,846,3.48ms
Decode,847,3.35ms
Decode,848,3.70ms
Decode,849,3.48ms
Decode,850,3.23ms
Decode,851,3.56ms
Decode,852,3.36ms
Decode,853,3.49ms
Decode,854,3.32ms
Decode,855,3.55ms
Decode,856,3.68ms
Decode,857,3.78ms
Decode,858,3.84ms
Decode,859,3.47ms
Decode,860,3.62ms
Decode,861,3.32ms
Decode,862,3.37ms
Decode,863,3.34ms
Decode,864,3.51ms
Decode,865,3.57ms
Decode,866,3.87ms
Decode,867,3.36ms
Decode,868,3.72ms
Decode,869,3.28ms
Decode,870,3.71ms
Decode,871,3.28ms
Decode,872,3.21ms
Decode,873,3.80ms
Decode,874,3.46ms
Decode,875,3.44ms
Decode,876,3.39ms
Decode,877,3.70ms
Decode,878,3.56ms
Decode,879,3.23ms
Decode,880,3.27ms
Decode,881,3.26ms
Decode,882,3.23ms
Decode,883,3.90ms
Decode,884,3.36ms
Decode,885,3.42ms
Decode,886,3.31ms
Decode,887,3.27ms
Decode,888,3.58ms
Decode,889,3.30ms
Decode,890,3.73ms
Decode,891,3.37ms
Decode,892,3.81ms
Decode,893,3.66ms
Decode,894,3.48ms
Decode,895,3.59ms
Decode,896,3.32ms
Decode,897,3.43ms
Decode,898,3.61ms
Decode,899,3.56ms
Decode,900,3.88ms
Decode,901,3.60ms
Decode,902,3.68ms
Decode,903,3.39ms
Decode,904,3.48ms
Decode,905,3.66ms
Decode,906,3.38ms
Decode,907,3.62ms
Decode,908,3.64ms
Decode,909,3.78ms
Decode,910,3.75ms
Decode,911,3.76ms
Decode,912,3.34ms
Decode,913,3.53ms
Decode,914,3.37ms
Decode,915,3.93ms
Decode,916,3.47ms
Decode,917,4.01ms
Decode,918,3.57ms
Decode,919,3.55ms
Decode,920,3.32ms
Decode,921,3.76ms
Decode,922,3.37ms
Decode,923,3.36ms
Decode,924,3.71ms
