Operation,Run,Time (seconds)
Encode,312,1.02ms
Decode,312,4.21ms
Decode,313,4.06ms
Encode,313,923.25µs
Decode,313,3.72ms
Decode,314,4.06ms
Encode,314,876.13µs
Decode,314,4.69ms
Decode,315,3.71ms
Encode,315,927.79µs

Decode,316,5.30ms
Encode,316,1.14ms
Decode,316,4.47ms
Decode,317,3.83ms
Encode,317,1.04ms
Decode,317,4.64ms
Decode,318,3.86ms
Encode,318,1.14ms
Decode,318,4.58ms
Decode,319,4.21ms
Encode,319,1.09ms
Decode,319,3.88ms
Decode,320,4.41ms
Encode,320,848.71µs
Decode,320,3.70ms
Decode,321,4.09ms
Encode,321,994.50µs
Decode,321,4.64ms
Decode,322,3.60ms
Encode,322,906.58µs
Decode,322,4.07ms
Decode,323,4.14ms
Encode,323,1.28ms
Decode,323,3.65ms
Decode,324,4.19ms
Encode,324,1.03ms
Decode,324,4.71ms
Decode,325,3.53ms
Encode,325,858.42µs
Decode,325,3.64ms
Decode,326,3.88ms
Encode,326,1.00ms
Decode,326,4.52ms
Decode,327,3.87ms
Encode,327,857.25µs
Decode,327,4.06ms
Decode,328,4.09ms
Encode,328,993.38µs
Decode,328,3.97ms
Decode,329,4.64ms
Encode,329,882.75µs
Decode,329,4.69ms
Decode,330,3.86ms
Encode,330,939.63µs
Decode,330,4.13ms
Decode,331,3.97ms
Encode,331,920.79µs
Decode,331,4.41ms
Decode,332,4.04ms
Encode,332,901.88µs
Decode,332,4.03ms
Decode,333,3.62ms
Encode,333,952.50µs
Decode,333,3.67ms
Decode,334,4.24ms
Encode,334,941.71µs
Decode,334,4.52ms
Decode,335,4.16ms
Encode,335,1.00ms
Decode,335,4.49ms
Decode,336,4.08ms
Encode,336,842.92µs
Decode,336,4.02ms
Decode,337,4.34ms
Encode,337,1.16ms
Decode,337,4.60ms
Decode,338,4.29ms
Encode,338,1.01ms
Decode,338,3.84ms
Decode,339,4.80ms
Encode,339,988.17µs
Decode,339,4.19ms
Decode,340,3.63ms
Encode,340,1.01ms
Decode,340,4.56ms
Decode,341,3.59ms
Encode,341,1.07ms
Decode,341,4.48ms
Decode,342,3.86ms
Encode,342,1.02ms
Decode,342,4.05ms
Decode,343,4.32ms
Encode,343,1.04ms
Decode,343,3.65ms
Decode,344,5.02ms
